to_project_name,grant_pool_name,from_project_name,f0_
,CGrants - Direct,gitcoin,5110839.8384029986
coin-cashew,CGrants - Direct,gitcoin,760.025710833164
trueblocks,CGrants - Direct,gitcoin,25526.847633115562
revoke-cash,CGrants - Direct,gitcoin,621132.27143356425
walletconnect,CGrants - Direct,gitcoin,26758.802340848371
impersonator-eth,CGrants - Direct,gitcoin,1580.2993704672785
0xparc,CGrants - Direct,gitcoin,36412.396453763031
gaia-os,CGrants - Direct,gitcoin,6099.2467287031031
therougeproject,CGrants - Direct,gitcoin,5729.0202389253382
inferer,CGrants - Direct,gitcoin,135.32023082468726
trueblocks,GG-07,gitcoin,3051.9643892057106
rotki,GG-08,gitcoin,12246.648775492336
useweb3,GG-09,gitcoin,5687.995645548006
ethereumcolombia,GG-09,gitcoin,1561.873972115674
pepemon-dao,GG-09,gitcoin,12041.37927594929
weekinethnews,GG-09,gitcoin,8850.9956571473067
lighthouse-sigp,GG-09,gitcoin,17635.963712362467
walletconnect,GG-09,gitcoin,30642.2707792562
cadcad-org,GG-09,gitcoin,1148.550647268363
clrfund,GG-09,gitcoin,17539.644710301342
kernel-community,GG-09,gitcoin,3560.589445440839
wildcards-protocol,GG-10,gitcoin,14087.958387335972
someresatguides,GG-10,gitcoin,1972.9461034371448
coin-cashew,GG-10,gitcoin,299.35644824772766
depayfi,GG-10,gitcoin,1908.1795464697061
filosofiacodigo,GG-10,gitcoin,82.13634273415822
beacon-chain,GG-10,gitcoin,21502.680681676746
distributed-press,GG-11,gitcoin,28.188348647954118
coinvise,GG-11,gitcoin,88.805658910019446
prysmaticlabs,GG-11,gitcoin,21524.688101753756
commonsbuild,GG-12,gitcoin,2732.58900447287
trueblocks,GG-12,gitcoin,4412.51983435064
metagame-metafam,GG-12,gitcoin,3818.8768914817165
revert-finance,GG-12,gitcoin,28440.561728720702
l2beat,GG-12,gitcoin,87569.1192051474
ethhub-io,GG-12,gitcoin,28984.724412100015
,GG-13,gitcoin,3100811.3805854404
